Scientific name,Wishlist ID,Source,Priority,Status,Family,Common name EN,Common name DE,Common name PT,Native origin,Natural habitat,Temperature / hardiness target,Light needs,Humidity,Water needs,Soil / substrate,Winter hardiness in Heiligenhaus,Difficulty,Future location,Bonsai potential,Invasive potential,Pollinators / ecology,Edible / medicinal / ethnobotanical,Seed source / propagation,Where to buy EU/UK,Wikipedia,Kew POWO / source search,Notes,Confidence
Amorphophallus titanum,SBC-WL-0001,Manual addition,★★★★★,Wishlist,Araceae,Titan arum,Titanenwurz,jarro-titã / flor-cadáver,"Sumatra, Indonesia",Lowland tropical rainforest,18–30°C; never below ~15°C,Bright filtered light,High,Even moisture in growth; dry dormancy,"Very rich, airy, well-drained aroid mix",Greenhouse only,Hard,Tropical greenhouse,None,None in Germany; impossible outdoors,Carrion flies and beetles,Ethnobotanical curiosity; not edible for collection use,Corm/offsets; seed rarely,"Specialist aroid growers, botanical swaps; rarely available",https://en.wikipedia.org/wiki/Amorphophallus_titanum,https://powo.science.kew.org/results?q=Amorphophallus+titanum,Holy grail oddity; very large plant and corm.,High
Philodendron spiritus-sancti,SBC-WL-0002,Manual addition,★★★★★,Wishlist,Araceae,Spiritus Sancti philodendron,Spiritus-Sancti-Philodendron,filodendro-spiritus-sancti,"Espírito Santo, Brazil",Humid Atlantic Forest; epiphytic/hemiepiphytic,18–30°C; avoid below 15°C,Bright indirect light,High,"Even, never waterlogged","Coarse aroid mix, bark, perlite, sphagnum",Greenhouse/indoors only,Hard,Tropical bonsai house / aroid wall,Low,"None; critically rare, protect from escape impossible",Aroid beetle/other insect pollination likely,Ornamental/conservation interest only,Tissue culture plants; cuttings,"Specialist aroid nurseries, EU collectors, tissue culture labs",https://en.wikipedia.org/wiki/Philodendron_spiritus-sancti,https://powo.science.kew.org/results?q=Philodendron+spiritus-sancti,Rare but increasingly available via tissue culture.,High
Caladium bicolor 'White Queen',SBC-WL-0003,Manual addition,★★★★,Wishlist,Araceae,White Queen caladium,Buntwurz 'White Queen',caládio 'White Queen',South America; cultivar selected in cultivation,Seasonally wet tropical forest edges,20–30°C in growth; dry tuber dormancy,Bright shade / filtered light,Medium-high,"Moist in growth, dry in dormancy","Rich, loose, moisture-retentive mix",Summer container; tubers stored warm/dry,Easy-medium,Greenhouse summer display / shade bench,None,None in Germany,Inconspicuous aroid pollination; grown for foliage,Ornamental; not edible,Tubers,"Garden centres, Dutch bulb suppliers, EU online shops",https://en.wikipedia.org/wiki/Caladium_bicolor,https://powo.science.kew.org/results?q=Caladium+bicolor+%27White+Queen%27,Strong foliage plant; seasonal.,High
Phormium tenax,SBC-WL-0004,Manual addition,★★★★,Wishlist,Asphodelaceae,New Zealand flax,Neuseeländer Flachs,linho-da-nova-zelândia,"New Zealand, Norfolk Island","Coastal cliffs, wetlands, open scrub",Hardy approx. -8 to -12°C with drainage/protection,Full sun to light shade,Low-medium,Moderate; drought tolerant when established,Well-drained fertile soil,Borderline hardy; sheltered outdoor trial,Easy,Outdoor architectural / Mediterranean terrace,Low,Low in Germany; invasive in mild oceanic climates,Birds in native range; bees may visit flowers,Traditional Māori fibre plant; ornamental,Seed or division,"Hardy exotic nurseries, garden centres",https://en.wikipedia.org/wiki/Phormium_tenax,https://powo.science.kew.org/results?q=Phormium+tenax,Excellent architectural plant for sheltered spots.,High
Cephalotus follicularis,SBC-WL-0005,Manual addition,★★★★★,Wishlist,Cephalotaceae,Australian pitcher plant,Zwergkrug,planta-jarro-australiana,Southwest Australia,Peaty seepages and coastal heath,"5–30°C; cool winters, no hard frost","Bright light, some sun",Medium-high,"Rainwater; moist, never fertilized",Acidic peat/sand/perlite carnivorous mix,Greenhouse/cold frame only,Hard,Carnivorous collection,None,None,Small flies and crawling insects as prey; flowers insect-pollinated,Carnivorous curiosity; no edible use,"Seed, division, leaf pullings",Carnivorous plant nurseries in EU/UK,https://en.wikipedia.org/wiki/Cephalotus_follicularis,https://powo.science.kew.org/results?q=Cephalotus+follicularis,One of the top carnivorous wishlist species.,High
Hydnophytum formicarum,SBC-WL-0006,Chelsea,★★★★★,Wishlist,Rubiaceae,Ant plant,Ameisenpflanze,planta-formiga,SE Asia to Pacific,Epiphytic ant-plant in tropical forest,18–30°C; avoid below 15°C,Bright filtered light,High,Moderate; dry slightly between waterings,Very airy orchid/epiphyte mix,Greenhouse/indoors only,Medium-hard,Tropical bonsai house / epiphyte mount,High as caudiciform display,None,Ant mutualism in habitat; small insect pollinators,Medicinal uses reported locally; ornamental curiosity,Seed; sometimes seedlings,Specialist caudiciform/epiphyte nurseries,https://en.wikipedia.org/wiki/Hydnophytum_formicarum,https://powo.science.kew.org/results?q=Hydnophytum+formicarum,Excellent weird-biology plant.,High
Platycerium superbum,SBC-WL-0007,Chelsea,★★★★★,Wishlist,Polypodiaceae,Staghorn fern,Geweihfarn,feto-chifre-de-veado,"E Queensland to NE New South Wales, Australia",Epiphytic in humid subtropical/tropical forests,15–30°C; avoid frost,Bright shade,High,Frequent misting/soaking then drain,Mounted on bark/cork with sphagnum,Greenhouse/indoors only,Medium,Tropical greenhouse / mounted epiphyte wall,None,None,Spore-producing fern; no pollinators,Ornamental; no edible use,Spores or offsets; usually bought as plant,"Fern/orchid nurseries, specialist houseplant sellers",https://en.wikipedia.org/wiki/Platycerium_superbum,https://powo.science.kew.org/results?q=Platycerium+superbum,"Spectacular mounted architectural fern; introduced in Hawaii, so avoid outdoor release in suitable climates.",High
Vanilla planifolia,SBC-WL-0008,Chelsea,★★★★,Wishlist,Orchidaceae,Vanilla orchid,Gewürzvanille,baunilha,Mexico and Central America; widely cultivated tropics,Humid tropical forest vine,18–32°C; avoid below 15°C,Bright filtered light,High,Even moisture; good airflow,Orchid/aroid mix; climbing support,Greenhouse/indoors only,Medium,Tropical food/ethnobotanical greenhouse,Low,None,Melipona bees in native range; hand pollination in cultivation,Edible vanilla pods; major spice crop,Cuttings easiest; seed impractical,"Orchid nurseries, houseplant shops",https://en.wikipedia.org/wiki/Vanilla_planifolia,https://powo.science.kew.org/results?q=Vanilla+planifolia,Needs size and hand pollination for pods.,High
Musella lasiocarpa,SBC-WL-0009,Kew,★★★★★,Wishlist,Musaceae,Golden lotus banana,Goldlotusbanane,bananeira-lótus-dourada,"China (W & S Yunnan, S Guizhou) to N Vietnam","Subtropical montane biome; slopes, forest margins",Top growth frost tender; rhizome/crown can survive colder spells with deep dry mulch; safest frost-free,Full sun to light shade,Medium,Moist in growth,"Rich, fertile, well-drained soil","Borderline outdoor trial only: sheltered, very well-drained, heavily mulched; greenhouse/container safer",Medium outdoors; easy-medium frost-free,Greenhouse / sheltered terrace,Low,Low,Bees/insects visit flowers,Ornamental; not a fruit banana,Seed or division of suckers,"Rare Palm Seeds, hardy exotic nurseries",https://en.wikipedia.org/wiki/Musella_lasiocarpa,https://powo.science.kew.org/results?q=Musella+lasiocarpa,Hardy-ish banana relative. Monocarpic flowering stem dies after bloom; clump persists by suckers.,Medium
Amorphophallus bulbifer,SBC-WL-0010,Kew,★★★★★,Wishlist,Araceae,Voodoo lily,Brutblatt-Titanwurz,lírio-vudu,"India, Himalaya region, Myanmar",Seasonal monsoon forest,"Warm growth; tuber dry/dormant, protect from frost",Bright shade,Medium,"Moist in growth, dry dormant","Rich, very free-draining mix",Lift/store tuber frost-free,Medium,Tropical greenhouse / weird bulb collection,None,None,Carrion flies/beetles; bulbils make propagation easy,Ornamental curiosity; not edible,Bulbils and tubers,"Specialist bulb/aroid sellers, Rare Palm Seeds",https://en.wikipedia.org/wiki/Amorphophallus_bulbifer,https://powo.science.kew.org/results?q=Amorphophallus+bulbifer,Much more manageable than A. titanum.,High
